Plot Number	Plot Size in SQ M	Plot Size in SQ FT	Plot Size in Guntha	Sale Price/Guntha	Total Cost	Discount	Final Price	Deposit	Remaining Balance	Plot Status
Plot 01	1025.51	11038.59	11.619568		₹0.00		₹0			AVALABLE
Plot 02	578.16	6223.31	6.550857	₹700,000.00	₹4,585,599.97	232	₹4,585,368	₹0	₹4,585,368	SOLD
